Date,Open,High,Low,Close
01/01/2018, 9.2731 , 10.1000 , 9.0385 , 9.1154 
01/02/2018, 9.1346 , 9.4692 , 8.2615 , 9.0038 
01/03/2018, 8.9115 , 9.1154 , 8.3769 , 8.6962 
01/04/2018, 8.7269 , 9.0650 , 8.1846 , 8.8900 
01/05/2018, 8.8900 , 9.7150 , 8.2250 , 8.5900 
01/06/2018, 8.7300 , 9.0000 , 7.5350 , 8.1250 
01/07/2018, 8.1500 , 9.6800 , 7.8100 , 9.2550 
01/08/2018, 9.2500 , 9.5700 , 8.5650 , 9.5700 
01/09/2018, 9.5200 , 10.0000 , 9.1750 , 9.8750 
01/10/2018, 9.9000 , 10.1250 , 8.6150 , 9.0000 
01/11/2018, 9.0100 , 9.6250 , 8.7300 , 8.9100 
01/12/2018, 8.9900 , 9.1600 , 8.4050 , 8.7700 
01/01/2019, 8.7700 , 9.8100 , 8.7500 , 9.4200 
01/02/2019, 9.4300 , 10.0250 , 9.0650 , 9.2100 
01/03/2019, 9.2800 , 9.7200 , 8.6900 , 9.0000 
01/04/2019, 9.1000 , 9.7050 , 8.9700 , 9.2900 
01/05/2019, 9.2900 , 9.7050 , 8.8350 , 9.5250 
01/06/2019, 9.5450 , 10.9150 , 9.3200 , 10.6800 
01/07/2019, 10.9350 , 12.2150 , 10.7400 , 11.9100 
01/08/2019, 11.9850 , 12.4200 , 10.6000 , 11.2500 
01/09/2019, 11.2500 , 12.2600 , 11.0950 , 12.1150 
01/10/2019, 12.0000 , 13.2950 , 11.3150 , 12.7500 
01/11/2019, 12.9400 , 15.2100 , 12.8500 , 15.2100 
01/12/2019, 15.2100 , 17.7400 , 15.0650 , 17.3300 
01/01/2020, 17.3300 , 22.1400 , 16.6100 , 19.7050 
01/02/2020, 19.9000 , 25.0650 , 19.8350 , 21.5750 
01/03/2020, 21.9500 , 24.9000 , 12.5550 , 16.7850 
01/04/2020, 16.2000 , 22.0250 , 15.7100 , 19.9700 
01/05/2020, 19.9700 , 20.9150 , 18.0000 , 20.9150 
01/06/2020, 20.9450 , 25.7400 , 20.6350 , 25.3050 
01/07/2020, 25.4000 , 35.5100 , 25.4000 , 33.6750 
01/08/2020, 33.6800 , 35.4600 , 32.1050 , 32.3100 
01/09/2020, 32.8500 , 34.0650 , 30.3750 , 32.8500 
01/10/2020, 32.9200 , 43.6050 , 32.4700 , 37.9150 
01/11/2020, 37.9150 , 43.1350 , 36.7850 , 36.7850 
01/12/2020, 36.9250 , 38.3250 , 34.1500 , 37.8700 
01/01/2021, 37.8700 , 46.9300 , 37.0000 , 41.8950 
01/02/2021, 42.7050 , 45.0400 , 39.0050 , 39.0250 
01/03/2021, 39.4600 , 39.9500 , 34.5600 , 37.2800 
01/04/2021, 37.6400 , 39.3500 , 34.5000 , 35.0100 
01/05/2021, 35.0000 , 35.2500 , 31.1400 , 34.1500 
01/06/2021, 34.4000 , 35.9000 , 32.8500 , 33.6900 
01/07/2021, 33.8500 , 37.7000 , 33.4700 , 35.7100 
01/08/2021, 36.2500 , 37.3600 , 33.0200 , 35.5600 
01/09/2021, 35.6900 , 41.6500 , 35.0100 , 39.6300 
01/10/2021, 39.7800 , 41.1500 , 36.3700 , 37.0000 
01/11/2021, 37.5100 , 38.3500 , 31.5800 , 32.2300 
01/12/2021, 32.5800 , 37.1100 , 32.1600 , 33.0900 
