date,airline,flight_no,dep_time,bucket,capacity,booked,seats_available,distance_km,month
2025-04-03,LATAM,LA4239,06:45:00,06:00-10:00,186,125,61,360,2025-04
2025-04-03,LATAM,LA8084,10:20:00,10:00-12:00,186,165,21,360,2025-04
2025-04-03,LATAM,LA4516,10:55:00,10:00-12:00,162,137,25,360,2025-04
2025-04-03,LATAM,LA3997,10:25:00,10:00-12:00,186,172,14,360,2025-04
2025-04-03,LATAM,LA6582,12:55:00,12:00-16:00,186,168,18,360,2025-04
2025-04-03,LATAM,LA8240,14:20:00,12:00-16:00,174,136,38,360,2025-04
2025-04-03,LATAM,LA7047,19:00:00,16:00-20:00,174,137,37,360,2025-04
2025-04-03,LATAM,LA6437,17:35:00,16:00-20:00,162,118,44,360,2025-04
2025-04-03,LATAM,LA3404,19:35:00,16:00-20:00,136,111,25,360,2025-04
2025-04-03,LATAM,LA8684,23:55:00,20:00-06:00,144,105,39,360,2025-04
2025-04-03,GOL,GO6751,07:10:00,06:00-10:00,144,112,32,360,2025-04
2025-04-03,GOL,GO7668,09:55:00,06:00-10:00,162,124,38,360,2025-04
2025-04-03,GOL,GO6955,11:55:00,10:00-12:00,174,153,21,360,2025-04
2025-04-03,GOL,GO3308,14:20:00,12:00-16:00,136,90,46,360,2025-04
2025-04-03,GOL,GO8151,15:40:00,12:00-16:00,162,152,10,360,2025-04
2025-04-03,GOL,GO9758,15:10:00,12:00-16:00,144,129,15,360,2025-04
2025-04-03,GOL,GO4793,14:25:00,12:00-16:00,136,116,20,360,2025-04
2025-04-03,GOL,GO1169,14:25:00,12:00-16:00,136,95,41,360,2025-04
2025-04-03,GOL,GO8656,20:30:00,20:00-06:00,162,130,32,360,2025-04
2025-04-03,Azul,AZ6737,08:05:00,06:00-10:00,174,158,16,360,2025-04
2025-04-03,Azul,AZ1233,06:30:00,06:00-10:00,174,157,17,360,2025-04
2025-04-03,Azul,AZ5181,11:30:00,10:00-12:00,186,166,20,360,2025-04
2025-04-03,Azul,AZ8801,18:55:00,16:00-20:00,136,118,18,360,2025-04
2025-04-03,Azul,AZ8483,21:20:00,20:00-06:00,162,107,55,360,2025-04
2025-04-03,Azul,AZ7871,20:00:00,20:00-06:00,144,128,16,360,2025-04
2025-04-04,LATAM,LA9048,07:50:00,06:00-10:00,186,168,18,360,2025-04
2025-04-04,LATAM,LA1269,09:30:00,06:00-10:00,162,144,18,360,2025-04
2025-04-04,LATAM,LA2006,11:55:00,10:00-12:00,174,121,53,360,2025-04
2025-04-04,LATAM,LA3624,11:25:00,10:00-12:00,144,124,20,360,2025-04
2025-04-04,LATAM,LA4578,11:50:00,10:00-12:00,162,137,25,360,2025-04
2025-04-04,LATAM,LA7572,15:40:00,12:00-16:00,174,114,60,360,2025-04
2025-04-04,LATAM,LA2664,14:15:00,12:00-16:00,162,145,17,360,2025-04
2025-04-04,LATAM,LA3569,18:35:00,16:00-20:00,136,129,7,360,2025-04
2025-04-04,LATAM,LA8685,18:40:00,16:00-20:00,162,126,36,360,2025-04
2025-04-04,LATAM,LA1808,17:00:00,16:00-20:00,174,128,46,360,2025-04
2025-04-04,GOL,GO2519,08:20:00,06:00-10:00,186,163,23,360,2025-04
2025-04-04,GOL,GO1958,08:10:00,06:00-10:00,186,171,15,360,2025-04
2025-04-04,GOL,GO2091,07:15:00,06:00-10:00,174,119,55,360,2025-04
2025-04-04,GOL,GO5427,09:05:00,06:00-10:00,162,137,25,360,2025-04
2025-04-04,GOL,GO4934,09:20:00,06:00-10:00,144,116,28,360,2025-04
2025-04-04,GOL,GO2658,10:55:00,10:00-12:00,136,118,18,360,2025-04
2025-04-04,GOL,GO1520,18:00:00,16:00-20:00,136,102,34,360,2025-04
2025-04-04,GOL,GO9452,16:05:00,16:00-20:00,186,147,39,360,2025-04
2025-04-04,GOL,GO8574,16:35:00,16:00-20:00,136,106,30,360,2025-04
2025-04-04,Azul,AZ4140,07:00:00,06:00-10:00,162,117,45,360,2025-04
2025-04-04,Azul,AZ6208,10:30:00,10:00-12:00,162,137,25,360,2025-04
2025-04-04,Azul,AZ6500,13:55:00,12:00-16:00,144,99,45,360,2025-04
2025-04-04,Azul,AZ7439,13:40:00,12:00-16:00,174,144,30,360,2025-04
2025-04-04,Azul,AZ6385,18:30:00,16:00-20:00,162,140,22,360,2025-04
2025-04-04,Azul,AZ4540,20:00:00,20:00-06:00,144,99,45,360,2025-04
2025-04-05,LATAM,LA7270,06:40:00,06:00-10:00,144,128,16,360,2025-04
2025-04-05,LATAM,LA6665,11:35:00,10:00-12:00,162,120,42,360,2025-04
2025-04-05,LATAM,LA3491,10:20:00,10:00-12:00,162,132,30,360,2025-04
2025-04-05,LATAM,LA2176,11:50:00,10:00-12:00,186,170,16,360,2025-04
2025-04-05,LATAM,LA5704,10:05:00,10:00-12:00,162,136,26,360,2025-04
2025-04-05,LATAM,LA1496,14:05:00,12:00-16:00,144,117,27,360,2025-04
2025-04-05,LATAM,LA4266,13:55:00,12:00-16:00,144,117,27,360,2025-04
2025-04-05,LATAM,LA9446,19:40:00,16:00-20:00,162,133,29,360,2025-04
2025-04-05,LATAM,LA8196,18:10:00,16:00-20:00,136,90,46,360,2025-04
2025-04-05,LATAM,LA1292,17:20:00,16:00-20:00,174,142,32,360,2025-04
2025-04-05,GOL,GO7158,09:25:00,06:00-10:00,162,136,26,360,2025-04
2025-04-05,GOL,GO9535,06:15:00,06:00-10:00,162,116,46,360,2025-04
2025-04-05,GOL,GO3640,07:40:00,06:00-10:00,144,111,33,360,2025-04
2025-04-05,GOL,GO3884,07:15:00,06:00-10:00,162,150,12,360,2025-04
2025-04-05,GOL,GO3874,11:20:00,10:00-12:00,186,170,16,360,2025-04
2025-04-05,GOL,GO4584,12:10:00,12:00-16:00,186,129,57,360,2025-04
2025-04-05,GOL,GO8033,16:05:00,16:00-20:00,136,114,22,360,2025-04
2025-04-05,GOL,GO7814,19:00:00,16:00-20:00,174,133,41,360,2025-04
2025-04-05,GOL,GO8572,18:00:00,16:00-20:00,162,105,57,360,2025-04
2025-04-05,Azul,AZ4245,12:45:00,12:00-16:00,144,119,25,360,2025-04
2025-04-05,Azul,AZ2400,12:30:00,12:00-16:00,136,123,13,360,2025-04
2025-04-05,Azul,AZ9285,15:25:00,12:00-16:00,136,107,29,360,2025-04
2025-04-05,Azul,AZ8846,15:45:00,12:00-16:00,162,116,46,360,2025-04
2025-04-05,Azul,AZ2080,18:05:00,16:00-20:00,186,164,22,360,2025-04
2025-04-05,Azul,AZ9988,22:15:00,20:00-06:00,186,150,36,360,2025-04
2025-04-06,LATAM,LA4418,09:00:00,06:00-10:00,136,105,31,360,2025-04
2025-04-06,LATAM,LA2014,07:05:00,06:00-10:00,174,138,36,360,2025-04
2025-04-06,LATAM,LA5509,10:25:00,10:00-12:00,144,125,19,360,2025-04
2025-04-06,LATAM,LA3723,10:00:00,10:00-12:00,162,131,31,360,2025-04
2025-04-06,LATAM,LA9274,11:30:00,10:00-12:00,186,171,15,360,2025-04
2025-04-06,LATAM,LA6806,13:30:00,12:00-16:00,174,116,58,360,2025-04
2025-04-06,LATAM,LA6906,14:40:00,12:00-16:00,136,102,34,360,2025-04
2025-04-06,LATAM,LA8937,16:35:00,16:00-20:00,136,106,30,360,2025-04
2025-04-06,LATAM,LA2451,16:35:00,16:00-20:00,162,124,38,360,2025-04
2025-04-06,LATAM,LA8707,17:20:00,16:00-20:00,186,121,65,360,2025-04
2025-04-06,GOL,GO1248,07:50:00,06:00-10:00,136,107,29,360,2025-04
2025-04-06,GOL,GO5625,09:40:00,06:00-10:00,144,136,8,360,2025-04
2025-04-06,GOL,GO3891,06:05:00,06:00-10:00,136,105,31,360,2025-04
2025-04-06,GOL,GO8911,07:50:00,06:00-10:00,144,117,27,360,2025-04
2025-04-06,GOL,GO8925,08:00:00,06:00-10:00,162,144,18,360,2025-04
2025-04-06,GOL,GO5576,06:00:00,06:00-10:00,136,92,44,360,2025-04
2025-04-06,GOL,GO5839,14:55:00,12:00-16:00,144,103,41,360,2025-04
2025-04-06,GOL,GO4358,18:00:00,16:00-20:00,144,128,16,360,2025-04
2025-04-06,GOL,GO4163,18:35:00,16:00-20:00,174,159,15,360,2025-04
2025-04-06,Azul,AZ3349,07:25:00,06:00-10:00,136,126,10,360,2025-04
2025-04-06,Azul,AZ4134,11:35:00,10:00-12:00,174,132,42,360,2025-04
2025-04-06,Azul,AZ7721,15:25:00,12:00-16:00,186,154,32,360,2025-04
